rain,aqi,traffic,zone_risk,disruptions,risk_score
22,126,0.49,0.45,3,1.15
91,241,0.76,0.85,9,2.44
47,192,0.53,0.58,5,1.67
76,218,0.69,0.71,7,1.99
11,275,0.84,0.76,8,2.07
53,136,0.41,0.49,4,1.38
89,164,0.73,0.68,7,2.01
24,208,0.55,0.52,5,1.51
67,282,0.62,0.79,8,2.25
39,117,0.74,0.41,4,1.34
84,249,0.46,0.63,6,1.82
55,188,0.81,0.72,7,2.04
17,143,0.58,0.37,3,1.11
79,255,0.65,0.74,9,2.22
43,232,0.42,0.55,5,1.57
96,129,0.77,0.81,8,2.28
2,115,0.49,0.34,2,0.82
64,271,0.63,0.69,7,2.03
51,197,0.52,0.51,4,1.48
35,162,0.86,0.73,7,2.06
82,219,0.44,0.58,6,1.79
14,285,0.61,0.49,5,1.52
75,134,0.72,0.64,6,1.85
49,246,0.38,0.52,4,1.44
26,177,0.59,0.47,4,1.33
93,263,0.79,0.86,9,2.49
38,102,0.41,0.39,3,1.01
70,225,0.66,0.71,7,2.01
57,149,0.54,0.53,5,1.56
21,291,0.82,0.77,8,2.21
86,183,0.45,0.62,6,1.86
46,214,0.71,0.59,6,1.78
9,123,0.33,0.31,2,0.79
80,268,0.64,0.73,9,2.26
52,152,0.58,0.51,4,1.45
29,194,0.85,0.74,8,2.17
74,127,0.49,0.61,5,1.63
61,248,0.62,0.68,7,2.00
16,236,0.37,0.42,3,1.16
97,201,0.73,0.83,9,2.41
34,119,0.55,0.44,4,1.25
58,272,0.68,0.71,8,2.15
83,169,0.41,0.56,5,1.65
23,141,0.76,0.52,5,1.47
68,231,0.53,0.64,6,1.84
41,289,0.81,0.85,9,2.43
92,116,0.39,0.48,4,1.41
54,186,0.65,0.59,6,1.76
7,253,0.47,0.36,3,1.08
79,155,0.84,0.72,8,2.19
31,211,0.51,0.55,5,1.53
65,244,0.72,0.66,7,2.01
99,277,0.43,0.82,9,2.38
20,131,0.69,0.41,4,1.28
72,198,0.56,0.63,6,1.81
44,107,0.32,0.39,2,0.92
88,261,0.78,0.74,9,2.34
13,174,0.54,0.45,4,1.31
56,224,0.61,0.58,6,1.79
37,294,0.83,0.79,9,2.41
81,146,0.44,0.62,5,1.66
25,216,0.71,0.51,5,1.55
69,258,0.36,0.69,7,1.94
47,133,0.59,0.47,4,1.33
94,189,0.85,0.82,9,2.47
18,247,0.42,0.49,4,1.41
76,163,0.67,0.71,7,2.01
53,111,0.31,0.34,2,0.89
10,281,0.82,0.73,8,2.16
85,206,0.55,0.68,7,2.04
42,154,0.64,0.52,5,1.51
63,243,0.49,0.64,6,1.88
96,121,0.78,0.86,9,2.39
32,274,0.51,0.61,7,1.91
78,181,0.62,0.71,7,2.02
5,139,0.38,0.29,2,0.78
59,229,0.76,0.65,7,1.99
27,113,0.45,0.41,3,1.06
87,264,0.84,0.81,9,2.45
45,191,0.53,0.57,6,1.75
71,217,0.68,0.62,7,1.99
19,157,0.41,0.35,3,1.04
90,283,0.59,0.79,9,2.42
36,128,0.74,0.51,5,1.51
62,249,0.47,0.68,7,1.98
84,171,0.81,0.74,8,2.18
22,233,0.35,0.46,4,1.38
77,208,0.66,0.73,7,2.06
55,142,0.52,0.55,5,1.58
11,271,0.79,0.69,8,2.11
68,118,0.41,0.43,3,1.15
93,251,0.63,0.81,9,2.39
40,195,0.72,0.54,6,1.77
89,165,0.51,0.66,6,1.85
24,297,0.85,0.76,9,2.46
60,147,0.46,0.51,4,1.42
75,237,0.69,0.71,7,2.04
15,108,0.33,0.32,2,0.83
82,286,0.77,0.84,9,2.51
49,178,0.58,0.53,5,1.61
34,254,0.42,0.59,6,1.81
98,124,0.61,0.78,8,2.16
57,212,0.74,0.63,7,1.99
21,144,0.49,0.39,3,1.12
73,266,0.65,0.76,8,2.23
43,184,0.82,0.58,6,1.82
95,241,0.39,0.74,8,2.21
8,119,0.55,0.31,2,0.89
66,222,0.71,0.69,7,2.05
52,159,0.44,0.48,4,1.41
30,289,0.88,0.82,9,2.49
86,137,0.53,0.65,6,1.84
14,213,0.67,0.44,4,1.39
79,259,0.48,0.72,8,2.22
46,126,0.36,0.41,3,1.07
91,192,0.79,0.81,9,2.44
64,281,0.52,0.74,8,2.25
26,168,0.69,0.46,5,1.52
80,245,0.41,0.68,7,2.01
53,114,0.57,0.49,4,1.37
17,238,0.81,0.64,7,2.05
74,153,0.34,0.59,5,1.64
99,282,0.75,0.89,9,2.61
41,207,0.62,0.51,5,1.58
61,132,0.49,0.45,4,1.33
28,276,0.84,0.78,9,2.42
85,188,0.55,0.63,6,1.87
12,219,0.32,0.37,3,1.09
72,145,0.68,0.66,7,1.94
56,263,0.45,0.69,7,2.03
94,110,0.71,0.74,8,2.15
38,242,0.59,0.56,6,1.82
83,288,0.82,0.85,9,2.56
2,158,0.41,0.32,2,0.85
67,199,0.64,0.61,6,1.81
44,231,0.53,0.52,5,1.59
90,136,0.76,0.81,8,2.24
18,279,0.39,0.48,4,1.44
78,162,0.85,0.72,8,2.21
51,215,0.58,0.55,6,1.76
25,122,0.43,0.39,3,1.08
97,295,0.67,0.86,9,2.54
65,185,0.52,0.62,6,1.83
33,267,0.79,0.74,8,2.24
89,141,0.46,0.64,5,1.68
47,226,0.63,0.58,6,1.82
11,202,0.35,0.41,3,1.15
76,281,0.81,0.79,9,2.48
54,169,0.54,0.51,5,1.56
23,248,0.69,0.55,6,1.78
84,115,0.42,0.53,4,1.41
69,273,0.75,0.76,9,2.39
